Order ID	Order Date	Order Priority	Order Quantity	Unit Price	Sales	Ship Mode	Shipping Cost	Province	Customer Segment	Product Category	Product Sub-Category	Product Container	Ship Date			
2277	01/01/2011	Not Specified	21	40.25	845.32	Regular Air	19.99	Nunavut	Home Office	Office Supplies	Paper	Small Box	01/03/2011		Excel number of Rows	2003
52640	01/01/2011	Medium	18	64.65	1163.75	Express Air	19.99	Manitoba	Consumer	Office Supplies	Binders and Binder Accessories	Small Box	01/04/2011			
17058	01/01/2011	High	15	4.84	72.67	Regular Air	6.72	Manitoba	Home Office	Office Supplies	Paper	Small Box	01/02/2011			
16262	01/01/2011	Low	11	5.71	62.84	Express Air	2.04	Manitoba	Consumer	Office Supplies	Paper	Wrap Bag	01/08/2011		Order ID Row 4:	17058
2277	01/01/2011	Not Specified	10	6.65	66.54	Regular Air	4.38	Nunavut	Home Office	Technology	Computer Peripherals	Small Pack	01/02/2011			
24033	02/01/2011	High	50	24.54	1227.18	Delivery Truck	15.68	Manitoba	Consumer	Furniture	Office Furnishings	Jumbo Drum	01/04/2011			
10144	02/01/2011	Critical	24	267.01	6408.3	Delivery Truck	35.67	British Columbia	Corporate	Furniture	Tables	Jumbo Box	01/02/2011		Largest Number of Dataset	7122.17
10436	02/01/2011	Low	24	5.78	138.75	Regular Air	1	Quebec	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	01/09/2011			
10144	02/01/2011	Critical	16	337.73	5403.75	Delivery Truck	58.92	British Columbia	Corporate	Furniture	Chairs & Chairmats	Jumbo Drum	01/04/2011			
10144	02/01/2011	Critical	1	192.49	192.49	Delivery Truck	30	British Columbia	Corporate	Furniture	Chairs & Chairmats	Jumbo Drum	01/04/2011		Highest Number of Shipping Cost	143.71
4006	03/01/2011	Medium	38	37.94	1441.61	Regular Air	5.08	Ontario	Corporate	Office Supplies	Paper	Wrap Bag	01/04/2011			
9221	03/01/2011	Low	25	61.10	1527.42	Regular Air	19.99	Alberta	Consumer	Office Supplies	Envelopes	Small Box	01/07/2011		Lowest Number of Shipping Cost	0.49
